train_id,adult_males,subadult_males,adult_females,juveniles,pups,Sum
0,62,12,486,42,344,946
1,2,20,0,12,0,34
2,2,0,38,20,0,60
3,8,5,41,7,38,99
4,6,9,2,0,0,17
5,6,4,14,4,19,47
6,2,5,20,18,0,45
7,6,2,33,16,3,60
8,9,5,76,4,51,145
9,4,1,64,36,11,116
10,5,4,7,5,0,21
11,3,7,36,13,0,59
12,8,9,13,1,7,38
13,2,5,20,13,0,40
14,1,1,0,27,0,29
15,2,3,35,61,0,101
16,1,1,32,35,0,69
17,4,4,60,18,0,86
18,2,4,0,0,0,6
19,7,3,34,24,1,69
20,7,21,31,4,1,64
21,6,1,25,9,0,41
22,1,1,0,5,0,7
23,1,0,1,6,0,8
24,4,2,0,0,0,6
25,1,2,0,0,0,3
26,0,8,0,4,0,12
27,1,4,0,8,0,13
28,2,0,0,0,0,2
29,4,4,44,15,0,67
30,2,0,1,3,0,6
31,3,2,20,76,1,102
32,18,6,159,18,111,312
33,0,1,18,8,0,27
34,4,1,127,237,0,369
35,4,1,0,0,0,5
36,9,19,0,0,0,28
37,1,2,5,0,0,8
38,3,0,36,2,0,41
39,10,14,62,10,15,111
40,2,2,63,8,0,75
41,15,0,85,18,59,177
42,7,4,10,1,0,22
43,28,4,338,47,189,606
44,3,2,25,15,0,45
45,4,7,100,27,0,138
46,1,4,0,0,0,5
47,13,16,48,3,33,113
48,5,10,66,24,0,105
49,0,0,4,15,0,19
50,1,0,0,0,0,1
51,9,13,10,35,0,67
52,3,3,20,23,0,49
53,2,1,15,6,0,24
54,2,5,22,26,0,55
55,6,2,59,74,0,141
56,9,3,91,5,93,201
57,2,1,0,0,0,3
58,36,17,143,71,145,412
59,6,4,16,55,1,82
60,5,4,0,0,0,9
61,0,0,1,0,0,1
62,6,2,222,28,1,259
63,7,22,58,15,60,162
64,5,5,6,0,0,16
65,29,8,267,14,270,588
66,0,0,0,0,0,0
67,10,7,30,4,26,77
68,4,3,3,0,0,10
69,4,2,46,31,14,97
70,9,11,15,636,0,671
71,3,2,21,18,0,44
72,13,3,56,37,20,129
73,3,0,20,6,8,37
74,1,2,0,4,0,7
75,3,1,0,34,0,38
76,5,3,0,0,0,8
77,20,11,136,37,84,288
78,2,2,6,0,5,15
79,11,5,37,0,26,79
80,0,12,0,19,0,31
81,1,3,15,0,0,19
82,0,0,37,17,0,54
83,5,2,44,44,0,95
84,1,1,0,12,0,14
85,0,1,0,0,0,1
86,2,2,4,2,2,12
87,7,1,43,16,0,67
88,1,2,1,24,0,28
89,1,1,1,0,0,3
90,1,0,17,12,0,30
91,17,0,229,1,157,404
92,3,5,1,1,1,11
93,24,21,144,99,62,350
94,4,4,17,0,0,25
95,5,0,19,58,0,82
96,9,3,167,5,0,184
97,0,0,19,11,0,30
98,0,6,0,0,0,6
99,3,1,13,68,0,85
100,12,3,50,4,27,96
101,10,0,85,56,0,151
102,13,0,92,3,73,181
103,3,0,0,0,0,3
104,3,3,38,43,0,87
105,2,0,33,17,3,55
106,0,4,0,5,0,9
107,7,11,3,1,2,24
108,4,4,0,3,0,11
109,4,2,35,4,27,72
110,16,8,95,13,80,212
111,23,9,123,40,80,275
112,11,20,387,190,0,608
113,0,9,10,3,0,22
114,5,7,12,0,9,33
115,0,13,0,4,0,17
116,0,0,4,9,0,13
117,0,1,1,0,0,2
118,1,1,10,43,0,55
119,7,7,19,2,11,46
120,2,0,5,1,3,11
121,6,1,90,7,67,171
122,11,43,40,15,0,109
123,0,0,1,0,0,1
124,19,8,104,84,46,261
125,6,1,36,29,8,80
126,35,14,127,7,117,300
127,1,10,15,65,0,91
128,11,22,53,43,0,129
129,0,3,0,43,0,46
130,13,30,43,17,0,103
131,5,11,25,73,2,116
132,2,2,0,0,0,4
133,1,1,2,2,0,6
134,3,2,15,7,0,27
135,1,0,10,4,0,15
136,1,9,3,22,0,35
137,6,3,0,0,0,9
138,1,0,25,12,0,38
139,2,4,9,0,8,23
140,1,2,0,0,0,3
141,5,28,0,16,0,49
142,1,1,3,5,0,10
143,0,1,0,0,0,1
144,8,0,18,0,20,46
145,4,9,60,70,0,143
146,4,1,25,23,5,58
147,6,4,44,4,26,84
148,0,3,0,6,0,9
149,2,5,0,2,0,9
150,0,2,0,0,0,2
151,6,4,21,0,16,47
152,5,4,0,0,0,9
153,12,27,0,0,0,39
154,6,13,62,25,0,106
155,23,11,114,5,65,218
156,2,1,11,0,0,14
157,1,1,15,0,0,17
158,20,0,90,3,87,200
159,0,6,0,0,0,6
160,12,5,199,65,30,311
161,2,5,5,0,0,12
